bussiness name,Dog Care / Dogsitting,Grooming,Training,Walking Service,Transport,address,Site
mydogcompany,1,,,,,"Alderstrasse 28, 8008 Zürich, Switzerland",https://www.mydogcompany.com
citydogs,1,1,1,,,"Schiffliweg 8, 8700 Küsnacht, Switzerland",https://citydogs.ch/en/
dogaffair,1,1,1,,,"Brandschenkestrasse 130, 8002 Zürich, Switzerland",https://dogaffair.ch/en/booking
dog2dog,1,1,,1,,"Chaletweg 2, 8305 Dietlikon, Switzerland",https://www.dog2dog.ch/kontakt/
hundeschule-glattpark,1,,,,,"Glattpark (Opfikon), 8152 Opfikon, Switzerland",https://hundeschule-glattpark.ch
pawhouse,1,1,1,,,"Seefeldstrasse 139, 8008 Zürich, Switzerland",https://pawhouse.ch
hundeabenteuerland,1,,,,,"Stampfenbachstrasse 7, 8001 Zürich, Switzerland",https://hundeabenteuerland.ch
walking-dogs,1,,,1,,"Alte Landstrasse 23, 8912 Obfelden, Switzerland",https://www.walking-dogs.ch/en/
fit-dogs,1,,,,,"Kirchweg 129, 8102 Zürich, Switzerland",https://fit-dogs.ch
maykesdogwalk,1,,,,1,"Hohlstrasse 480, 8048 Zürich, Switzerland",https://www.maykesdogwalk.ch
citypet,,,,1,,Ramgasse 8,https://www.citypet.ch/english/
happy-hundehort,1,,,,1,"Glattalstrasse 525, 8153 Rümlang, Switzerland",http://www.happy-hundehort.ch
woofwoof,1,,1,,,"Hardpl. 21, 8004 Zürich, Switzerland",https://woofwoof.ch
happywalkshappydogs,1,,,,,"Eugen-Huber-Strasse 28, 8048 Zürich, Switzerland",https://www.happywalkshappydogs.ch
holydog,1,1,,,,"Strangenstrasse 3, 8304 Wallisellen, Switzerland",https://www.holydog.ch
dog-knowhow,1,,,,,"Regensbergstrasse 57, 8050 Zürich, Switzerland",https://www.dog-knowhow.ch
hotdoggrooming,,1,,,,"Hohlstrasse 221, 8004 Zürich, Switzerland",https://hotdoggrooming.ch
hundundco,,,1,,,"Birmensdorferstrasse 451, 8055 Zürich, Switzerland",https://www.hundundco.ch
doggiesway,1,,,,,"Schneebelistrasse 1, 8048 Zürich, Switzerland",https://www.doggiesway.ch/kontakt
dogparkcare,1,1,,,,"Pumpwerkstrasse 15, 8105 Regensdorf, Switzerland",https://dogparkcare.ch
wholetthedogsout,,,1,,,"Uetlibergstrasse, 8045 Zürich, Switzerland",https://wholetthedogsout.ch
dogcareplus,,,1,,,"Vogelaustrasse 48, 8953 Dietikon, Switzerland",https://www.dogcareplus.ch/
dold-dog,1,,,,,"Birmensdorferstrasse 628, 8055 Zürich, Switzerland",https://www.dold-dog.ch
smilingdogs,1,,,,,"Badenerstrasse 262, 8004 Zürich, Switzerland",https://www.smilingdogs.ch
