breed,price,from,to
Mischling klein,,400,700
Chihuahua,,500,1500
Labrador Retriever,,700,1500
Yorkshire Terrier,,600,2500
Jack Russel Terrier,,800,2000
Französische Bulldogge,,1500,8000
Mischling gross,,,
Malteser,,600,2340
Mops,,600,2000
Golden Retriever,,1000,5000
Pudel,,600,2000
Bolonka Zwetna,,1500,1800
Border Collie,,700,2000
Beagle,,1000,1500
West Highland White Terrier,,800,1700
Zwergspitz,1500 - $3000,1500,3000
Pinscher,"1,000 to $6,000",1000,6000
Schäfer,"1,500-$5,000",1500,5000
Pekingese,"750 and $3,000",750,3000
Shih Tzu,500-$1800,500,1800
Niederlaufhund,600-$700,600,700
Affenpinscher,800 to $2000,800,2000
Slovensky Cuvac,$800-$1200,800,1200
Elo,1200  1500,1200,1500
Berger de Beauce,"2,000 - $2,500",2000,2500
Daisy-Dog,975.00 to $2875.00,975,2875
Chodsky pes,2000 - $2500,2000,2500
Harzer Fuchs,,,
Curly Coated Retriever,1000-$2500,1000,2500
Laufhund,800 to $2500,800,2500
